LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,d_tube,camber
0.055167,1.445922,-0.081867,0.308862,1.443344,-0.082558,0.09496237630319553,0.0449861
-0.111246,1.46245,0.038158,0.353482,1.441267,0.036624,0.10868124653310406,0.0449861
-0.207302,1.470985,0.218733,0.420886,1.438128,0.216666,0.09000078168237204,0.09
-0.261826,1.429789,0.561858,0.531586,1.389118,0.553203,0.08999990083595241,0.09
-0.307829,1.332461,0.894339,0.624986,1.287208,0.875843,0.09000046673001391,0.09
-0.345378,1.172471,1.202549,0.701222,1.126971,1.171919,0.08999974848332609,0.09
-0.374528,0.949267,1.469545,0.760405,0.9086,1.42614,0.08999987043487782,0.09
-0.395319,0.669341,1.677332,0.802618,0.638624,1.622579,0.08999976120391483,0.09
-0.407782,0.346336,1.809671,0.827922,0.329802,1.747056,0.09000001096237602,0.09
-0.411935,0.0,1.854922,0.836352,0.0,1.789502,0.08999999392985342,0.09
-0.407782,-0.346336,1.809671,0.827922,-0.329802,1.747056,0.09000001096237602,0.09
-0.395319,-0.669341,1.677332,0.802618,-0.638624,1.622579,0.08999976120391483,0.09
-0.374528,-0.949267,1.469545,0.760405,-0.9086,1.42614,0.08999987043487782,0.09
-0.345378,-1.172471,1.202549,0.701222,-1.126971,1.171919,0.08999974848332609,0.09
-0.307829,-1.332461,0.894339,0.624986,-1.287208,0.875843,0.09000046673001391,0.09
-0.261826,-1.429789,0.561858,0.531586,-1.389118,0.553203,0.08999990083595241,0.09
-0.207302,-1.470985,0.218733,0.420886,-1.438128,0.216666,0.09000078168237204,0.09
-0.111246,-1.46245,0.038158,0.353482,-1.441267,0.036624,0.10868124653310406,0.0449861
0.055167,-1.445922,-0.081867,0.308862,-1.443344,-0.082558,0.09496237630319553,0.0449861
